ref,count_1_aerobic_t30_7_Rif,count_1_aerobic_t60_1_control,count_1_aerobic_t180_6_Nor,count_1_aerobic_t30_1_control,count_1_aerobic_t180_5_Gent,count_1_aerobic_t0_1_control,count_1_aerobic_t180_1_control,freq_aerobic_t30_7_Rif,freq_aerobic_t60_1_control,freq_aerobic_t180_6_Nor,freq_aerobic_t30_1_control,freq_aerobic_t180_5_Gent,freq_aerobic_t0_1_control,freq_aerobic_t180_1_control
113,60,41,33,51,50,63,35,32.9335927,24.46670052,18.11529562,32.16182316,28.02255479,34.11372541,15.74092064
114,108,40,59,40,74,46,117,59.28046687,23.86995173,32.38795278,25.22495934,41.4733811,24.90843443,52.61964899
115,264,276,218,148,195,207,368,144.9078079,164.7026669,119.6707408,93.33234956,109.2879637,112.0879549,165.504537
116,167,146,135,141,177,152,232,91.66516636,87.12532381,74.10802755,88.91798168,99.19984397,82.30613116,104.3398168
117,316,235,142,202,183,214,322,173.4502549,140.2359664,77.95066601,127.3860447,102.5625505,115.8783689,144.8164699
118,102,112,122,84,107,84,133,55.9871076,66.83586484,66.97169897,52.97241462,59.96826726,45.48496722,59.81549842
119,186,156,152,119,151,213,232,102.0941374,93.09281174,83.44014953,75.04425404,84.62811548,115.3368812,104.3398168
120,35,32,36,50,23,30,36,19.21126241,19.09596138,19.76214068,31.53119918,12.89037521,16.24463115,16.19066123
121,63,57,47,41,60,64,27,34.58027234,34.01468121,25.80057255,25.85558332,33.62706575,34.65521312,12.14299592
122,24,23,13,31,11,27,19,13.17343708,13.72522224,7.136328579,19.54934349,6.164962055,14.62016803,8.545071203
123,77,66,74,57,100,63,98,42.2647773,39.38542035,40.62217806,35.94556706,56.04510959,34.11372541,44.07457778
124,132,114,87,85,89,88,103,72.45390395,68.02936243,47.75850664,53.6030386,49.88014753,47.65091804,46.32328073
125,127,50,54,68,79,88,84,69.70943789,29.83743966,29.64321102,42.88243088,44.27563657,47.65091804,37.77820953
126,200,150,159,142,179,170,206,109.7786423,89.51231898,87.282788,89.54860566,100.3207462,92.05290985,92.64656146
127,91,137,115,66,93,113,136,49.94928227,81.75458467,63.1290605,41.62118291,52.12195192,61.18811066,61.16472019
128,50,40,23,39,38,46,70,27.44466059,23.86995173,12.6258121,24.59433536,21.29714164,24.90843443,31.48184127
129,58,19,37,36,41,53,18,31.83580628,11.33822707,20.31108903,22.70246341,22.97849493,28.69884836,8.095330613
130,213,191,175,128,174,204,281,116.9142541,113.9790195,96.06596163,80.71986989,97.51849068,110.4634918,126.3771057
131,230,325,178,297,253,248,374,126.2454387,193.9433578,97.71280669,187.2953231,141.7941273,134.2889508,168.2029805
132,94,60,66,123,99,86,97,51.5959619,35.80492759,36.23059124,77.56674997,55.48465849,46.56794263,43.62483719
133,122,101,79,93,104,94,132,66.96497183,60.27162812,43.36691982,58.64803047,58.28691397,50.89984427,59.36575783
134,115,85,124,82,97,100,122,63.12271935,50.72364742,68.06959567,51.71116665,54.3637563,54.1487705,54.86835193
135,22,7,15,16,15,6,13,12.07565066,4.177241553,8.234225283,10.08998374,8.406766438,3.24892623,5.846627665
136,18,24,23,17,18,34,21,9.880077811,14.32197104,12.6258121,10.72060772,10.08811973,18.41058197,9.444552382
137,148,186,208,174,182,172,256,81.23619534,110.9952755,114.1812573,109.7285731,102.0020995,93.13588526,115.1335909
138,178,130,155,167,151,173,126,97.70299169,77.57734312,85.08699459,105.3142052,84.62811548,93.67737296,56.66731429
