no  subtraction,0.5% subtraction,1% subtraction,#ORF/Gene,number,,,,,,,,,,,,,,,,,,,,
981,912,842,b0305,ykgD,,,,,,,,,,,,,,,,,,,,
3897,3838,3779,b0306,ykgE,,,,,,,,,,,,,,,,,,,,
5756,5639,5522,b0307,ykgF,,,,,,,,,,,,,,,,,,,,
2694,2637,2580,b0308,ykgG,,,,,,,,,,,,,,,,,,,,
3590,3535,3481,b0310,ykgH,,,,,,,,,,,,,,,,,,,,
14364,14227,14091,b0311,betA,,,,,,,,,,,,,,,,,,,,
17245,17124,17004,b0312,betB,,,,,,,,,,,,,,,,,,,,
19370,19322,19274,b0313,betI,,,,,,,,,,,,,,,,,,,,
43663,43497,43331,b0314,betT,,,,,,,,,,,,,,,,,,,,
4245,4156,4067,b0315,yahA,,,,,,,,,,,,,,,,,,,,
13231,13155,13079,b0316,yahB,,,,,,,,,,,,,,,,,,,,
138,99,68,b0317,yahC,,,,,,,,,,,,,,,,,,,,
492,442,393,b0318,yahD,,,,,,,,,,,,,,,,,,,,
88,47,24,b0319,yahE,,,,,,,,,,,,,,,,,,,,
60,4,0,b0320,yahF,,,,,,,,,,,,,,,,,,,,
84,20,1,b0321,yahG,,,,,,,,,,,,,,,,,,,,
58,21,13,b0323,yahI,,,,,,,,,,,,,,,,,,,,
1979,1866,1753,b0324,yahJ,,,,,,,,,,,,,,,,,,,,
860,774,688,b0325,yahK,,,,,,,,,,,,,,,,,,,,
60,23,13,b0326,yahL,,,,,,,,,,,,,,,,,,,,
630,610,590,b0327,yahM,,,,,,,,,,,,,,,,,,,,
2614,2559,2504,b0328,yahN,,,,,,,,,,,,,,,,,,,,
1226,1204,1181,b0329,yahO,,,,,,,,,,,,,,,,,,,,
979,852,733,b0330,prpR,,,,,,,,,,,,,,,,,,,,
70,16,3,b0331,prpB,,,,,,,,,,,,,,,,,,,,
58,11,0,b0333,prpC,,,,,,,,,,,,,,,,,,,,
33,1,0,b0334,prpD,,,,,,,,,,,,,,,,,,,,
207,93,49,b0335,prpE,,,,,,,,,,,,,,,,,,,,
1208,1111,1047,b0336,codB,,,,,,,,,,,,,,,,,,,,
2793,2688,2583,b0337,codA,,,,,,,,,,,,,,,,,,,,
827,753,679,b0338,cynR,,,,,,,,,,,,,,,,,,,,
39,6,0,b0339,cynT,,,,,,,,,,,,,,,,,,,,
189,150,112,b0340,cynS,,,,,,,,,,,,,,,,,,,,
289,209,151,b0341,cynX,,,,,,,,,,,,,,,,,,,,
1920,1870,1820,b0342,lacA,,,,,,,,,,,,,,,,,,,,
2015,1913,1810,b0343,lacY,,,,,,,,,,,,,,,,,,,,
6521,6270,6018,b0344,lacZ,,,,,,,,,,,,,,,,,,,,
8229,8140,8052,b0345,lacI,,,,,,,,,,,,,,,,,,,,
12042,11974,11906,b0346,mhpR,,,,,,,,,,,,,,,,,,,,
129,37,8,b0347,mhpA,,,,,,,,,,,,,,,,,,,,
78,21,6,b0348,mhpB,,,,,,,,,,,,,,,,,,,,
93,33,3,b0349,mhpC,,,,,,,,,,,,,,,,,,,,
153,90,43,b0350,mhpD,,,,,,,,,,,,,,,,,,,,
120,49,9,b0351,mhpF,,,,,,,,,,,,,,,,,,,,
124,46,10,b0352,mhpE,,,,,,,,,,,,,,,,,,,,
408,311,233,b0353,mhpT,,,,,,,,,,,,,,,,,,,,
6934,6890,6846,b0354,yaiL,,,,,,,,,,,,,,,,,,,,
3694,3626,3558,b0355,frmB,,,,,,,,,,,,,,,,,,,,
10036,9945,9854,b0356,frmA,,,,,,,,,,,,,,,,,,,,
3207,3184,3162,b0357,frmR,,,,,,,,,,,,,,,,,,,,
974,915,863,b0358,yaiO,,,,,,,,,,,,,,,,,,,,
992,962,932,b0360,insC,,,,,,,,,,,,,,,,,,,,
1188,1114,1040,b0361,insD,,,,,,,,,,,,,,,,,,,,
339,242,158,b0363,yaiP,,,,,,,,,,,,,,,,,,,,
111,66,32,b0364,yaiS,,,,,,,,,,,,,,,,,,,,
71,12,0,b0365,tauA,,,,,,,,,,,,,,,,,,,,
34,4,0,b0366,tauB,,,,,,,,,,,,,,,,,,,,
63,16,2,b0367,tauC,,,,,,,,,,,,,,,,,,,,
271,201,133,b0368,tauD,,,,,,,,,,,,,,,,,,,,
19219,19139,19060,b0369,hemB,,,,,,,,,,,,,,,,,,,,
629,558,487,b0372,insF,,,,,,,,,,,,,,,,,,,,
829,805,780,b0373,insE,,,,,,,,,,,,,,,,,,,,
123,75,42,b0375,yaiV,,,,,,,,,,,,,,,,,,,,
5856,5761,5667,b0376,ampH,,,,,,,,,,,,,,,,,,,,
5754,5655,5555,b0377,sbmA,,,,,,,,,,,,,,,,,,,,
3972,3882,3793,b0378,yaiW,,,,,,,,,,,,,,,,,,,,
123,99,81,b0379,yaiY,,,,,,,,,,,,,,,,,,,,
14488,14470,14453,b0380,yaiZ,,,,,,,,,,,,,,,,,,,,
27163,27074,26984,b0381,ddlA,,,,,,,,,,,,,,,,,,,,
1797,1776,1755,b0382,iraP,,,,,,,,,,,,,,,,,,,,
1276,1160,1047,b0383,phoA,,,,,,,,,,,,,,,,,,,,
195,168,142,b0384,psiF,,,,,,,,,,,,,,,,,,,,
189,113,75,b0385,adrA,,,,,,,,,,,,,,,,,,,,
5882,5816,5750,b0386,proC,,,,,,,,,,,,,,,,,,,,
6095,6058,6020,b0387,yaiI,,,,,,,,,,,,,,,,,,,,
13386,13343,13300,b0388,aroL,,,,,,,,,,,,,,,,,,,,
6879,6864,6848,b0389,yaiA,,,,,,,,,,,,,,,,,,,,
4502,4447,4391,b0390,aroM,,,,,,,,,,,,,,,,,,,,
33577,33553,33530,b0391,yaiE,,,,,,,,,,,,,,,,,,,,
9275,9201,9126,b0393,rdgC,,,,,,,,,,,,,,,,,,,,
1566,1492,1418,b0394,mak,,,,,,,,,,,,,,,,,,,,
1882,1785,1688,b0396,araJ,,,,,,,,,,,,,,,,,,,,
6310,6053,5796,b0397,sbcC,,,,,,,,,,,,,,,,,,,,
2509,2411,2312,b0398,sbcD,,,,,,,,,,,,,,,,,,,,
1492,1436,1380,b0399,phoB,,,,,,,,,,,,,,,,,,,,
1604,1498,1392,b0400,phoR,,,,,,,,,,,,,,,,,,,,
17543,17435,17327,b0401,brnQ,,,,,,,,,,,,,,"Leu,",and,Val,,,,
6518,6405,6293,b0402,proY,,,,,,,,,,,,,,,,,,,,
2078,1930,1781,b0403,malZ,,,,,,,,,,,,,,,,,,,,
780,732,685,b0404,acpH,,,,,,,,,,,,,,,,,,,,
6220,6132,6045,b0405,queA,,,,,,,,,,,,,,,,,,,,
34455,34362,34270,b0406,tgt,,,,,,,,,,,,,,,,,,,,
45412,45385,45358,b0407,yajC,,,,,,,,,,,,,,,,,,,,
79840,79689,79538,b0408,secD,,,,,,,,,,,,,,,,,,,,
37628,37548,37469,b0409,secF,,,,,,,,,,,,,,,,,,,,
6734,6705,6677,b0410,yajD,,,,,,,,,,,,,,,,,,,,
622333,622260,622188,b0411,tsx,,,,,,,,,,,,,,,,,,,,
1688,1643,1599,b0412,yajI,,,,,,,,,,,,,,,,,,,,
5937,5900,5864,b0413,nrdR,,,,,,,,,,,,,,,,,,,,
