avg_lr,normalized_lr,distance_ATG,operon_pos,geneName
-1.4552237689495087,0.07074228519598705,102,2,era
-20.57077693939209,1.0,50,2,era
-11.875348091125488,0.577292152168776,36,2,era
-9.623928308486938,0.596523869552029,95,1,fabA
-12.807717561721802,0.7938659760495385,45,1,fabA
-16.133349895477295,1.0,37,1,fabA
-15.986166000366211,0.6804723801395648,67,1,fabB
-23.49274778366089,1.0,55,1,fabB
-22.721785068511963,0.9671829484465361,39,1,fabB
-23.04266119003296,0.9808414665762953,25,1,fabB
-20.377942085266113,0.8462080764996252,58,1,accB
-10.535467624664307,0.43749254740189014,101,1,accB
-24.0814790725708,1.0,111,1,accB
-19.01582622528076,0.7896452775170317,115,1,accB
-10.413926601409912,0.7189305363685329,25,2,accC
-13.753355979919434,0.9494696832386142,29,2,accC
-14.485302925109863,1.0,159,2,accC
-12.200386762619019,0.8422596907842357,165,2,accC
-21.836596488952637,1.0,61,4,fabH
-20.122370719909668,0.9214975754161042,85,4,fabH
-19.99263095855713,0.9155561842557108,119,4,fabH
-13.873260974884033,0.6353215796199129,937,4,fabH
-19.46723508834839,1.0,147,3,fbaA
-13.970501899719238,0.7176418138639997,126,3,fbaA
-7.382305860519409,0.3792169677417569,29,3,fbaA
-17.737199306488037,0.9111308938321796,-20,3,fbaA
-18.076069831848145,0.7915042548901426,202,1,ffh
-11.34633207321167,0.4968264781496102,137,1,ffh
-22.837615489959717,1.0,55,1,ffh
-18.407362937927246,0.8060107214792115,18,1,ffh
-17.641422271728516,0.8357907895701118,6,3,lpxD
-21.10746192932129,1.0,79,3,lpxD
-12.726510286331177,0.6029389193710794,91,3,lpxD
-15.982277631759644,0.7571861403932213,135,3,lpxD
-25.27950668334961,1.0,63,1,folA
-16.964927673339844,0.671094095539207,71,1,folA
-10.125329494476318,0.4005350903918305,79,1,folA
-20.198647022247314,0.7990127052420366,88,1,folA
-18.761433601379395,0.757630344250656,35,1,folC
-24.76330804824829,1.0,27,1,folC
-20.750108242034912,0.8379376536287418,20,1,folC
-14.03555417060852,0.5667883363265502,0,1,folC
-11.3803551197052,0.69397406854202,133,1,folD
-11.890491724014282,0.7250821992708751,111,1,folD
-12.436082124710083,0.7583523025449586,101,1,folD
-16.398818969726562,1.0,87,1,folD
-7.389488935470581,0.3082202330259839,67,1,frr
-12.079208612442017,0.5038313915628397,68,1,frr
-10.706122398376465,0.44655910161697226,107,1,frr
-23.974704265594482,1.0,144,1,frr
-19.746424198150635,1.0,52,14,ftsA
-18.215096950531006,0.9224504025512099,64,14,ftsA
-19.17930841445923,0.9712800769394734,87,14,ftsA
-18.208147525787354,0.9220984692252611,88,14,ftsA
-10.33202314376831,0.3942368857578851,30,4,ftsI
