Gene_name,Distance1,Distance2,delta distance,logFC,logFC2
yadM,114,96,-18,2.00303725772528,-0.124114475699377
yfaE,7,8,1,4.13036194563437,0.683167561500323
gatA,105,84,-21,-0.108692686964547,4.92222657863221
gatA,84,61,-23,4.92222657863221,-0.199607473096506
tomB,61,60,-1,0.853116387502861,6.29296974628376
tomB,60,18,-42,6.29296974628376,0.0344073551908857
ydiF,9,18,9,5.01376036489973,-0.390280953888745
prmB,114,76,-38,1.79408188902955,4.14445953453281
prmB,76,45,-31,4.14445953453281,0.67191829096791
gntP,360,325,-35,4.08168712986838,-0.0276437176400607
yabP,18,27,9,-0.179382768438524,4.7221556456825
dppC,51,44,-7,-0.235556980583541,1.96206568355231
lpxH,91,90,-1,-0.0891857233103023,3.09435565381516
lpxH,90,57,-33,3.09435565381516,0.316607050489356
yceK,95,105,10,4.95302970916811,-0.203731736399632
rarA,1325,1326,1,5.72889402952593,1.42248395061871
tynA,27,12,-15,3.00094561757497,-0.0572298802395197
dgoA,93,53,-40,0.203893576498607,3.96205564889091
dgoA,53,23,-30,3.96205564889091,-0.0412291693597183
gpsA,97,85,-12,-0.134466947260004,3.76438067450001
gpsA,85,54,-31,3.76438067450001,0.429019479879341
gpsA,54,39,-15,0.429019479879341,2.8802084309444
pta,7,8,1,7.98809207516188,4.55724604990182
glnW,48,40,-8,4.45996356486577,8.01025995389558
glnW,40,27,-13,8.01025995389558,2.4772171393953
glnW,27,12,-15,2.4772171393953,6.21163257036244
glnX,40,27,-13,1.02482079830952,7.14635029650756
glnX,27,12,-15,7.14635029650756,4.44493948714414
gltW,20,6,-14,5.72888929784606,1.55860831446983
hisR,64,65,1,7.24822371112863,1.07623311653394
leuZ,43,42,-1,-0.503355643784636,1.76658015189159
pheU,49,4,-45,6.15750049123349,0.0152990361302735
pheU,4,3,-1,0.0152990361302735,7.92843844099689
rnpB,0,-15,-15,2.73033122010641,4.87297935053046
rnpB,-15,-16,-1,4.87297935053046,9.16680303327252
rrfG,37,31,-6,5.0593844320199,2.38895963932986
rrfG,27,4,-23,3.25498009512891,0.0987281895895713
rrlG,106,33,-73,6.10374045128998,0.287441269418477
serT,50,42,-8,1.51143584157047,-0.780051972139775
serV,33,32,-1,8.40653674087624,6.27072516797333
sraA,154,153,-1,-1.86532441888791,0.636539937664225
cyaR,19,20,1,7.39706088050022,2.62885903775927
tff,94,99,5,4.50786690903226,9.32137576218483
pdxB,69,52,-17,9.48581084328356,-0.132920199227515
maa,114,100,-14,0.12321689384286,4.1441135425508
maa,100,76,-24,4.1441135425508,-0.24158628516052
yagH,17,18,1,-0.104435731714588,5.09225095625152
ecpA,126,123,-3,4.403934340905,-0.0829313430405722
yahM,41,42,1,5.43229350047355,1.87142144461717
ykiB,183,134,-49,0.709403526736984,-1.5658330357059
ybaV,35,40,5,0.166920891704771,2.44830152524539
ybaV,40,41,1,2.44830152524539,-0.0985963487785372
atl,44,-12,-56,-0.125419613100484,3.73214530905047
copA,34,25,-9,2.44579806312603,0.0186500874296313
ybcQ,85,88,3,0.643664248978677,3.2550158905235
